Fecha,Producto,Volumen_Hoy,Volumen_7Dias,Precio_Ayer,Precio_7Dias,Precio_Hoy_Kg
2023-01-03,AGUAJE,3,5,27.75,27.07,27.75
2023-01-03,AGUAYMANTO,1,1,4.2,4.18,4.2
2023-01-03,ALBARICOQUE,4,5,3.23,3.21,3.18
2023-01-03,ARÁNDANO,4,4,6.25,5.7,5.75
2023-01-03,CAIMITO (SELVA),4,5,49.25,48.64,48.75
2023-01-03,CAMU CAMU,1,2,7.75,8.1,7.75
2023-01-03,CARAMBOLA,5,14,21.5,21.64,22.25
2023-01-03,CHIRIMOYA CRIOLLA O HUAYCO,3,4,4.83,4.77,4.93
2023-01-03,CHIRIMOYA CUMBE,6,16,5.08,4.9,5.08
2023-01-03,CIRUELA NECTARINA (IMPORTADA),7,7,58.75,58.61,59.25
2023-01-03,CIRUELA ROJA/CRIOLLA,8,12,39.25,38.79,38.5
2023-01-03,CIRUELA SANTA ROSA/NACIONAL,4,6,52.25,51.36,51.5
2023-01-03,COCO,6,16,1.75,1.76,1.75
2023-01-03,COCONA,6,20,32.25,31.71,32.75
2023-01-03,FRESA SABRINA,7,28,2.43,2.42,2.38
2023-01-03,FRESA SAN ANDREAS,14,71,2.45,2.46,2.38
2023-01-03,GRANADA,10,11,73.5,74.64,72.5
2023-01-03,GRANADILLA (COSTA),3,7,23.25,23.14,22.75
2023-01-03,GRANADILLA (SELVA),13,48,47.25,46.75,46.25
2023-01-03,GUANABANA (COSTA),5,8,4.58,4.61,4.58
2023-01-03,GUANABANA (SELVA),4,8,5.48,5.52,5.38
2023-01-03,HIGO MADURO,4,9,41.5,41.39,41.5
2023-01-03,KIWI IMPORTADO,7,6,116.25,116.14,116.75
2023-01-03,LIMA DULCE,4,8,2.33,2.38,2.38
2023-01-03,LIMON DULCE - SELVA,6,13,35.25,35.29,34.75
2023-01-03,LUCUMA BELTRAN,4,6,5.38,5.39,5.38
2023-01-03,LUCUMA DE SEDA,2,4,5.33,5.28,5.28
2023-01-03,MAMEY,5,8,4.23,4.14,4.23
2023-01-03,MANDARINA MALVACEA,5,7,2.63,2.54,2.58
2023-01-03,MANDARINA MURCOTT,5,7,2.33,2.32,2.33
2023-01-03,MANDARINA RIO DE ORO,6,7,2.7,2.7,2.68
2023-01-03,MANDARINA SATSUMA,16,50,1.93,1.94,1.9
2023-01-03,MANDARINA TANGERINA,7,13,19.25,18.71,18.75
2023-01-03,MANGO CRIOLLO,20,26,1.73,1.84,1.73
2023-01-03,MANGO EDWARD,20,54,1.45,1.45,1.45
2023-01-03,MANGO HADEN /HAYDE,16,45,1.33,1.33,1.28
