Fecha,Producto,Volumen_Hoy,Volumen_7Dias,Precio_Ayer,Precio_7Dias,Precio_Hoy_Kg
2021-01-04,AGUAJE,5,6,19.75,19.43,20.25
2021-01-04,AGUAYMANTO,2,1,4.25,4.2,4.15
2021-01-04,ALBARICOQUE,7,6,3.23,3.18,3.25
2021-01-04,ARÁNDANO,4,3,5.75,5.96,6.25
2021-01-04,CAIMITO (SELVA),4,6,45.75,46.29,46.5
2021-01-04,CAMU CAMU,1,1,6.5,6.54,6.38
2021-01-04,CARAMBOLA,6,12,19.5,19.71,19.5
2021-01-04,CHIRIMOYA CRIOLLA O HUAYCO,5,2,4.98,5.05,4.95
2021-01-04,CHIRIMOYA CUMBE,16,17,5.05,5.09,5.05
2021-01-04,CIRUELA NECTARINA (IMPORTADA),8,7,58.5,58.82,58.5
2021-01-04,CIRUELA ROJA/CRIOLLA,22,19,33.5,33.43,31.75
2021-01-04,CIRUELA SANTA ROSA/NACIONAL,5,7,33.75,33.36,33.5
2021-01-04,COCO,11,10,1.58,1.62,1.55
2021-01-04,COCONA,9,16,27.75,27.43,30.5
2021-01-04,FRESA SABRINA,33,39,3.15,3.1,3.08
2021-01-04,FRESA SAN ANDREAS,44,57,3.05,3.02,3.0
2021-01-04,GRANADA,10,8,65.75,66.82,64.75
2021-01-04,GRANADILLA (COSTA),11,4,26.5,26.25,26.25
2021-01-04,GRANADILLA (SELVA),59,43,43.0,42.43,43.25
2021-01-04,GUANABANA (COSTA),4,10,5.55,5.5,5.78
2021-01-04,GUANABANA (SELVA),6,5,5.65,5.61,5.93
2021-01-04,HIGO MADURO,10,5,46.5,46.25,47.25
2021-01-04,KIWI IMPORTADO CHILENO,7,7,137.25,137.5,138.25
2021-01-04,LIMA DULCE,5,3,3.55,3.49,3.55
2021-01-04,LIMON DULCE - SELVA,10,9,34.75,34.89,34.5
2021-01-04,LUCUMA BELTRAN,3,4,4.43,4.41,4.38
2021-01-04,LUCUMA DE SEDA,4,3,4.3,4.33,4.28
2021-01-04,MAMEY,8,5,2.6,2.64,2.55
2021-01-04,MANDARINA MALVACEA,16,8,3.23,3.17,3.18
2021-01-04,MANDARINA MURCOTT,10,9,3.15,3.13,3.15
2021-01-04,MANDARINA SATSUMA,31,61,2.18,2.22,2.15
2021-01-04,MANDARINA TANGERINA,19,22,21.5,21.32,21.75
2021-01-04,MANGO CRIOLLO,14,22,3.08,3.13,3.05
2021-01-04,MANGO EDWARD,54,59,1.63,1.63,1.6
2021-01-04,MANGO HADEN /HAYDE,32,46,2.08,2.12,2.08
2021-01-04,MANGO KAFRO,29,38,3.05,3.07,3.0
2021-01-04,MANGO KENT,25,31,2.93,2.95,2.85
2021-01-04,MANGO PICO DE LORO,18,11,2.15,2.14,2.23
2021-01-04,MANZANA CTE/PARA AGUA,40,22,24.25,24.21,24.25
2021-01-04,MANZANA DELICIA,94,81,51.5,51.93,52.25
2021-01-04,MANZANA GOLDEN,6,10,2.13,2.13,2.15
2021-01-04,MANZANA IMPORTADA,14,13,96.25,94.18,96.5
2021-01-04,MANZANA ISRAEL,30,49,0.83,0.81,0.83
2021-01-04,MANZANA WINTER,12,11,45.0,44.25,44.75
2021-01-04,MARACUYA,13,13,2.7,2.69,2.58
2021-01-04,MELOCOTON BLANQUILLO,17,14,35.5,35.32,35.0
2021-01-04,MELOCOTON DURAZNO HUAYCO,40,47,36.5,36.43,36.25
2021-01-04,MELON COQUITO,44,72,11.25,11.29,11.5
2021-01-04,MELON ESMERALDA,4,6,16.25,16.36,16.25
2021-01-04,MEMBRILLO CRIOLLO,13,11,3.18,3.17,3.23
2021-01-04,MEMBRILLO SERRANO,24,25,64.25,63.64,62.0
2021-01-04,NARANJA PRIMAVERA,27,24,1.35,1.31,1.38
2021-01-04,NARANJA TANGELO SELVA,46,54,49.25,49.29,49.5
2021-01-04,NARANJA VALENCIA,144,152,22.25,22.18,22.5
2021-01-04,NARANJA WASHINGTON NAVAL,24,28,4.93,4.95,4.93
2021-01-04,NONI,7,8,1.75,1.77,1.75
2021-01-04,PACAE CRIOLLO,3,5,4.88,4.88,4.93
2021-01-04,PACAE DE SEDA,3,5,4.45,4.42,4.48
2021-01-04,PALTA CHOQUETE,6,6,24.5,24.54,24.75
2021-01-04,PALTA COLLIN RED,5,7,27.25,26.64,26.75
2021-01-04,PALTA CRIOLLA,10,12,22.25,22.39,22.5
2021-01-04,PALTA DEDO,2,2,5.48,5.49,5.48
2021-01-04,PALTA FUERTE,41,39,6.93,6.91,7.1
2021-01-04,PALTA HALL,9,11,23.5,23.39,23.75
2021-01-04,PALTA HASS,8,12,5.13,5.16,5.08
2021-01-04,PALTA LINDA,6,8,33.0,33.32,33.5
2021-01-04,PALTA NAVAL,6,3,5.93,5.9,5.93
2021-01-04,PAPAYA (COSTA),16,12,17.0,17.07,16.75
2021-01-04,PAPAYA (SELVA),158,171,18.0,18.07,18.25
2021-01-04,PEPINO RAYADO O MELON,30,42,2.1,2.09,2.1
