Fecha,Producto,Volumen_Hoy,Volumen_7Dias,Precio_Ayer,Precio_7Dias,Precio_Hoy_Kg
2020-01-03,AGUAJE,4,4,25.25,24.0,25.25
2020-01-03,AGUAYMANTO,2,2,4.2,4.45,4.2
2020-01-03,ALBARICOQUE,4,6,3.25,3.28,3.28
2020-01-03,ARÁNDANO,2,3,5.25,5.21,5.25
2020-01-03,CAMU CAMU,1,1,5.38,5.52,6.25
2020-01-03,CARAMBOLA,5,9,20.75,21.61,21.25
2020-01-03,CHIRIMOYA CRIOLLA O HUAYCO,4,5,4.28,4.3,4.38
2020-01-03,CHIRIMOYA CUMBE,8,16,4.45,4.47,4.48
2020-01-03,CIRUELA NECTARINA (IMPORTADA),11,7,56.5,55.75,56.75
2020-01-03,CIRUELA ROJA/CRIOLLA,9,32,26.5,27.0,26.5
2020-01-03,COCO,7,13,1.58,1.6,1.58
2020-01-03,COCONA,6,13,31.25,29.79,31.5
2020-01-03,FRESA AROMA,8,8,2.93,2.82,3.0
2020-01-03,FRESA SAN ANDREAS,34,54,3.15,2.97,3.18
2020-01-03,GRANADA,8,9,64.25,71.52,63.75
2020-01-03,GRANADILLA (COSTA),3,12,24.25,24.07,23.75
2020-01-03,GRANADILLA (SELVA),19,35,28.25,28.5,28.5
2020-01-03,GUANABANA (COSTA),5,4,4.68,4.69,4.68
2020-01-03,GUANABANA (SELVA),3,5,5.33,5.22,5.33
2020-01-03,HIGO MADURO,2,3,36.25,36.68,35.75
2020-01-03,KIWI IMPORTADO CHILENO,7,8,86.25,86.07,84.75
2020-01-03,LIMA DULCE,3,8,3.18,3.19,3.08
2020-01-03,LIMON DULCE - SELVA,5,11,33.75,33.89,34.75
2020-01-03,LUCUMA BELTRAN,4,3,4.33,4.45,4.35
2020-01-03,LUCUMA DE SEDA,4,3,4.33,4.35,4.33
2020-01-03,MAMEY,6,6,3.08,3.14,3.15
2020-01-03,MANDARINA MALVACEA,8,13,2.23,2.16,2.23
2020-01-03,MANDARINA MURCOTT,6,8,2.28,2.21,2.28
2020-01-03,MANDARINA RIO DE ORO,8,13,2.38,2.36,2.38
2020-01-03,MANDARINA SATSUMA,42,61,2.78,2.79,2.78
2020-01-03,MANDARINA TANGERINA,6,13,17.75,17.39,17.75
2020-01-03,MANGO CRIOLLO,33,40,1.75,1.81,1.75
2020-01-03,MANGO EDWARD,63,114,15.25,15.43,15.0
2020-01-03,MANGO HADEN /HAYDE,25,42,1.03,1.03,1.0
2020-01-03,MANGO KAFRO,9,11,16.75,17.04,16.75
2020-01-03,MANGO KENT,17,15,1.25,1.28,1.25
2020-01-03,MANGO PICO DE LORO,7,9,20.75,21.11,20.75
2020-01-03,MANZANA CTE/PARA AGUA,17,47,21.5,21.43,22.25
2020-01-03,MANZANA DELICIA,40,80,46.0,47.32,45.25
2020-01-03,MANZANA GOLDEN,6,8,2.18,2.14,2.18
2020-01-03,MANZANA IMPORTADA,12,15,96.5,96.82,96.5
2020-01-03,MANZANA ISRAEL,42,49,0.78,0.77,0.78
2020-01-03,MANZANA WINTER,12,8,44.5,45.21,43.75
2020-01-03,MARACUYA,9,5,2.08,2.16,2.13
2020-01-03,MELOCOTON BLANQUILLO,10,26,41.75,41.79,41.75
2020-01-03,MELOCOTON DURAZNO HUAYCO,27,32,43.25,43.61,42.5
2020-01-03,MELON COQUITO,31,52,9.5,9.46,9.5
2020-01-03,MELON ESMERALDA,5,12,16.5,16.71,16.5
2020-01-03,MEMBRILLO CRIOLLO,14,15,2.35,2.34,2.35
2020-01-03,MEMBRILLO SERRANO,16,22,56.75,56.5,56.75
2020-01-03,NARANJA PRIMAVERA,11,30,1.38,1.4,1.38
2020-01-03,NARANJA TANGELO SELVA,27,65,38.25,36.54,38.5
2020-01-03,NARANJA VALENCIA,63,175,23.75,22.07,23.75
2020-01-03,NARANJA WASHINGTON NAVAL,8,20,2.63,2.64,2.55
2020-01-03,NONI,5,7,1.65,1.61,1.63
2020-01-03,PACAE DE SEDA,6,5,4.38,4.4,4.38
2020-01-03,PALTA CRIOLLA,12,14,23.0,20.93,21.25
2020-01-03,PALTA FUERTE,31,50,4.15,4.59,4.75
2020-01-03,PALTA HALL,14,15,22.5,22.46,21.5
2020-01-03,PALTA HASS,4,7,4.58,4.69,4.58
2020-01-03,PALTA LINDA,8,10,27.5,27.79,27.5
2020-01-03,PALTA NAVAL,5,4,5.45,5.51,5.38
2020-01-03,PALTA QUEEN,5,8,5.38,5.38,5.38
2020-01-03,PAPAYA (COSTA),7,11,20.75,17.85,21.75
2020-01-03,PAPAYA (SELVA),112,194,24.25,20.04,24.0
2020-01-03,PEPINO RAYADO O MELON,28,52,1.38,1.37,1.35
2020-01-03,PERA AGUA ITALIANA,10,14,43.75,44.04,43.75
2020-01-03,PERA AGUA PACKAM IMPORTADO,11,16,83.75,83.64,82.75
2020-01-03,PITAHAYA,4,6,17.75,18.11,19.25
2020-01-03,PIÑA CRIOLLA (SELVA),37,49,15.25,14.25,15.25
2020-01-03,PIÑA GOLDEN,53,89,22.75,22.21,25.75
2020-01-03,PIÑA HAWAIANA,26,39,1.6,1.61,1.6
2020-01-03,PLATANO BELLACO,39,104,57.25,56.54,56.5
2020-01-03,PLATANO BIZCOCHO,55,88,13.75,14.18,13.75
2020-01-03,PLATANO ISLA,71,131,37.0,36.82,37.25
2020-01-03,PLATANO MANZANO,12,20,16.25,17.07,16.25
2020-01-03,PLATANO MORADO,9,10,27.75,26.32,27.75
2020-01-03,PLATANO PALILLO,32,78,56.25,56.39,55.75
2020-01-03,PLATANO SEDA (SELVA),16,27,25.25,25.46,26.25
2020-01-03,PLATANO SEDA CONGO,37,54,26.25,26.21,26.75
2020-01-03,SANDIA,73,93,0.83,0.83,0.83
2020-01-03,TAMARINDO (CON CASCARA),1,1,4.75,4.67,4.75
2020-01-03,TORONJA COSTA,15,17,27.5,27.18,27.25
2020-01-03,TORONJA SELVA,6,11,17.25,17.36,16.75
2020-01-03,TUMBO,4,4,2.45,2.45,2.48
2020-01-03,TUNA AMARILLA,10,11,2.25,2.28,2.25
2020-01-03,TUNA BLANCA,12,12,2.23,2.26,2.23
2020-01-03,TUNA MORADA/ROSADA,7,10,2.25,2.28,2.25
2020-01-03,UVA ALFONSO LAVALETT,10,16,22.25,22.04,22.5
2020-01-03,UVA BORGOÑA,6,7,24.25,24.21,23.75
2020-01-03,UVA FLAME,9,11,19.0,18.86,18.75
2020-01-03,UVA FLEY,8,10,19.5,19.82,19.5
2020-01-03,UVA ITALIA,7,22,23.25,23.5,23.0
2020-01-03,UVA PALESTINA,9,8,26.75,27.04,26.75
2020-01-03,UVA PIROVANO,9,10,36.75,37.21,36.75
2020-01-03,UVA RED GLOBE,27,34,23.5,23.5,23.25
2020-01-03,UVA ROSADA,9,9,28.75,28.96,29.25
2020-01-03,UVA SUPERIOR,6,10,28.75,28.86,28.75
2020-01-03,YACON (LLACON),4,4,1.58,1.6,1.58
2020-01-06,AGUAJE,5,5,25.0,24.79,25.75
2020-01-06,AGUAYMANTO,2,2,4.25,4.3,4.23
2020-01-06,ALBARICOQUE,5,4,3.3,3.28,3.28
2020-01-06,ARÁNDANO,2,2,5.25,5.11,5.38
2020-01-06,CAMU CAMU,1,1,6.0,5.77,5.75
2020-01-06,CARAMBOLA,7,4,21.0,21.29,22.25
2020-01-06,CHIRIMOYA CRIOLLA O HUAYCO,4,3,4.4,4.34,4.43
2020-01-06,CHIRIMOYA CUMBE,15,10,4.45,4.47,4.48
2020-01-06,CIRUELA NECTARINA (IMPORTADA),8,8,56.0,56.18,56.5
2020-01-06,CIRUELA ROJA/CRIOLLA,24,8,26.0,26.5,25.75
2020-01-06,COCO,10,12,1.65,1.61,1.65
2020-01-06,COCONA,12,6,31.67,30.88,32.75
2020-01-06,FRESA AROMA,8,9,3.1,2.98,3.18
2020-01-06,FRESA SAN ANDREAS,37,35,3.18,3.12,3.23
2020-01-06,GRANADA,7,7,57.0,64.54,53.75
2020-01-06,GRANADILLA (COSTA),6,9,23.5,24.0,25.5
2020-01-06,GRANADILLA (SELVA),39,22,31.5,29.39,34.5
2020-01-06,GUANABANA (COSTA),5,4,4.6,4.67,4.68
2020-01-06,GUANABANA (SELVA),4,4,5.3,5.31,5.28
2020-01-06,HIGO MADURO,2,3,36.0,36.14,35.5
2020-01-06,KIWI IMPORTADO CHILENO,7,6,84.0,85.39,82.75
2020-01-06,LIMA DULCE,4,7,3.1,3.15,3.18
2020-01-06,LIMON DULCE - SELVA,8,8,35.0,34.32,34.75
2020-01-06,LUCUMA BELTRAN,3,4,4.4,4.38,4.38
2020-01-06,LUCUMA DE SEDA,3,4,4.3,4.31,4.33
2020-01-06,MAMEY,8,8,3.15,3.13,3.23
2020-01-06,MANDARINA MALVACEA,9,9,2.23,2.2,2.28
2020-01-06,MANDARINA MURCOTT,6,7,2.3,2.28,2.35
2020-01-06,MANDARINA RIO DE ORO,7,9,2.4,2.38,2.38
2020-01-06,MANDARINA SATSUMA,66,64,2.8,2.79,2.78
2020-01-06,MANDARINA TANGERINA,11,10,18.0,17.86,18.25
2020-01-06,MANGO CRIOLLO,33,29,1.8,1.78,1.83
2020-01-06,MANGO EDWARD,70,62,15.0,15.21,17.25
2020-01-06,MANGO HADEN /HAYDE,17,45,1.0,1.02,1.03
2020-01-06,MANGO KAFRO,15,10,17.0,16.79,17.5
2020-01-06,MANGO KENT,13,7,1.25,1.26,1.25
2020-01-06,MANGO PICO DE LORO,10,9,21.0,20.75,21.75
2020-01-06,MANZANA CTE/PARA AGUA,32,37,21.75,21.68,22.75
2020-01-06,MANZANA DELICIA,71,55,44.5,45.64,44.75
2020-01-06,MANZANA GOLDEN,6,7,2.2,2.17,2.28
2020-01-06,MANZANA IMPORTADA,14,16,96.5,96.5,96.25
2020-01-06,MANZANA ISRAEL,34,24,0.78,0.77,0.83
2020-01-06,MANZANA WINTER,9,6,44.0,44.32,45.0
2020-01-06,MARACUYA,12,9,2.2,2.14,2.23
2020-01-06,MELOCOTON BLANQUILLO,14,10,42.0,41.79,43.75
2020-01-06,MELOCOTON DURAZNO HUAYCO,21,15,42.25,42.96,45.75
2020-01-06,MELON COQUITO,28,44,9.75,9.54,9.75
2020-01-06,MELON ESMERALDA,5,11,17.0,16.57,17.25
2020-01-06,MEMBRILLO CRIOLLO,11,10,2.3,2.34,2.33
2020-01-06,MEMBRILLO SERRANO,25,20,56.0,56.61,55.75
2020-01-06,NARANJA PRIMAVERA,19,25,1.4,1.39,1.45
2020-01-06,NARANJA TANGELO SELVA,64,23,38.75,38.04,38.5
